name	definition	wikidata	cf_name	hydro
1,6,7-Trimethylnaphthalene	1,6,7-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)			
1,6-Dimethylnaphthalene	1,6-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)			
1,8-Dimethylnaphthalene	1,8-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)			
1-Chloronaphthalene	1-Chloronaphthalene (C10H7Cl)			
1-Ethylnaphthalene	1-Ethylnaphthalene (C10H7C2H5), a polycyclic aromatic hydrocarbon (PAH)			
1-Methylanthracene	1-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)			
1-Methyldibenzothiophene	1-Methyldibenzothiophene (C13H10S)			
1-Methylfluorene	1-Methylfluorene (C14H12), a polycyclic aromatic hydrocarbon (PAH)			
1-Methylnaphthalene	1-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)			
1-Methylphenanthrene	1-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)			
1-Naphthalenol methylcarbamate	1-Naphthalenol methylcarbamate (C12H11NO2)			
19-Hexanoyloxyfucoxanthin	The phytoplankton pigment 19-Hexanoyloxyfucoxanthin			
2,2-dichlorovinyl dimethyl phosphate	2,2-dichlorovinyl dimethyl phosphate (C4H7Cl2O4P)			
2,3,4,6-Tetrachlorophenol	2,3,4,6-Tetrachlorophenol (C6H2Cl4O)			
2,3,5-Trimethylnaphthalene	2,3,5-Trimethylnaphthalene (C13H14), a polycyclic aromatic hydrocarbon (PAH)			
2,3,6-Trimethylnaphthalene	2,3,6-Trimethylnaphthalene (C10H5(CH3)3), a polycyclic aromatic hydrocarbon (PAH)			
2,3-Dimethylnaphthalene	2,3-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)			
2,4,5-Trichlorophenol	2,4,5-Trichlorophenol (C6H3Cl3O)			
2,4,6-Trichlorophenol	2,4,6-Trichlorophenol (TCP) (C6H2Cl3OH)			
2,4-Dichlorophenol	2,4-Dichlorophenol (C6H4Cl2O)			
2,4-Dimethylphenol	2,4-Dimethylphenol (C8H10O)			
2,4-Dinitrophenol	2,4-Dinitrophenol (C6H4N2O5)			
2,4-Dinitrotoluene	2,4-Dinitrotoluene (C7H6N2O4)			
2,6-Dichlorophenol	2,6-Dichlorophenol (C6H4Cl2O)			
2,6-Dinitrotoluene	2,6-Dinitrotoluene (C7H6N2O4)			
2,7-Dimethylnaphthalene	2,7-Dimethylnaphthalene (C10H6(CH3)2), a polycyclic aromatic hydrocarbon (PAH)			
2-Butanone (MEK)	2-Butanone (MEK) (C4H8O)			
2-Butoxyethanol	2-Butoxyethanol (CH3(CH2)2CH2OCH2OH)			
2-Chloronaphthalene	2-Chloronaphthalene (C10H7Cl)			
2-Chlorophenol	2-Chlorophenol (C6H5ClO)			
2-Hexanone	2-Hexanone (C6H12O)			
2-Methylanthracene	2-Methylanthracene (C15H12), a polycyclic aromatic hydrocarbon (PAH)			
2-Methyldibenzothiophene	2-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)			
2-Methylnaphthalene	2-Methylnaphthalene (C10H7CH3), a polycyclic aromatic hydrocarbon (PAH)			
2-Methylphenanthrene	2-Methylphenanthrene (C15H12), a polycyclic aromatic hydrocarbon (PAH)			
2-Methylphenol	2-Methylphenol (C7H8O)			
2-Nitroaniline	2-Nitroaniline (C6H6N2O2)			
2-Nitrophenol	2-Nitrophenol (C6H5NO3)			
3,3-Dichlorobenzidine	3,3-Dichlorobenzidine (C12H10Cl2N2)			
3,6-Dimethylphenanthrene	3,6-Dimethylphenanthrene (C16H14), a polycyclic aromatic hydrocarbon (PAH)			
3-Nitroaniline	3-Nitroaniline (C6H6N2O2)			
4,4-DDD	Dichlorodiphenyldichloroethane (C14H10Cl4)			
4,4-DDE	Dichlorodiphenyldichloroethylene (C14H8Cl4)			
4,4-DDT	Dichlorodiphenyltrichloroethane (C14H9Cl5)			
4,4-Methylenebis(2-chloroaniline)	4,4'-Methylenebis(2-chloroaniline) (C13H12Cl2N2)			
4,4-Methylenebis(N,N-dimethylaniline)	4,4'-Methylenebis(N,N-dimethylaniline) (C17H22N2)			
4,6-Dinitro-2-methylphenol	4,6-Dinitro-2-methylphenol (C7H6N2O5)			
4-Bromophenylphenyl ether	4-Bromophenylphenyl ether (C12H9BrO)			
4-Chloro-3-methylphenol	4-Chloro-3-methylphenol (C7H7ClO)			
4-Chloroaniline	4-Chloroaniline (C6H6ClN)			
4-Chlorophenylphenyl ether	4-Chlorophenylphenyl ether (C12H9ClO)			
4-Methylchrysene	4-Methylchrysene (C19H14), a polycyclic aromatic hydrocarbon (PAH)			
4-Methyldibenzothiophene	4-Methyldibenzothiophene (C13H10S), a polycyclic aromatic hydrocarbon (PAH)			
4-Methylphenol	4-Methylphenol (C7H8O)			
4-Nitroaniline	4-Nitroaniline (C6H6N2O2)			
4-Nitrophenol	4-Nitrophenol (C6H5NO3)			
9 cis-Neoxanthin	The phytoplankton pigment  9 cis-Neoxanthin			
9,10-Dimethylanthracene	9,10-Dimethylanthracene (C16H14), a polycyclic aromatic hydrocarbon (PAH)			
Absorbance	The amount of radiation absorbed by a material			
Absorbance, ultraviolet	Absorbance of ultraviolet light at a specified wavelength, typically at 254 or 280 nm for water samples. Not normalized to DOC concentration like variables such as SUVA280.			
Abundance	The relative representation of a species in a particular ecosystem. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field.			
Acenaphthene	Acenaphthene (C12H10)			
Acenaphthylene	Acenaphthylene (C12H8), a polycyclic aromatic hydrocarbon (PAH)			
Acetate	Acetate			
Acetic Acid	Acetic Acid (C2H4O2)			
Acetone	Acetone (C3H6O)			
Acetophenone	Acetophenone (C6H5C(O)CH3)			
Acid neutralizing capacity	Acid neutralizing capacity			
Acid phosphatase	Phosphatase enzymes are used by soil microorganisms to access organically bound phosphate nutrients. An assay on the rates of activity of these enzymes may be used to ascertain biological demand for phosphates in the soil. Some plant roots, especially cluster roots, exude carboxylates that perform acid phosphatase activity, helping to mobilise phosphorus in nutrient-deficient soils.			
Acidity, CO2 acidity	CO2 acidity			
Acidity, exchange	The total amount of the Cation Exchange Capacity (CEC) of a soil that is due to H+ and Al3+ ions. It is a proportion of the total acidity and it is dependent on the type of soil and the percentage of the CEC that is composed of exchangeable bases (Ca2+, Mg2+, K+).			
Acidity, hot	Hot Acidity			
Acidity, mineral acidity	Mineral Acidity			
Acidity, total acidity	Total acidity			
Activity, acid phosphatase	Assay for microbial activity using acid phosphatase			
Activity, beta-glucosidase	Assay for microbial activity using beta-glucosidase			
Activity, beta-N-acetyl glucosaminidase	Assay for microbial activity using beta-N-acetyl glucosaminidase			
Activity, phenol oxidase	Assay for microbial activity using phenol oxidase			
Adamantane	Adamantane (C10H16)			
Agency code	Code for the agency which analyzed the sample			
Albedo	The ratio of reflected to incident light.			
Albite	Albite is a plagioclase feldspar mineral. It is the sodium endmember of the plagioclase solid solution series. As such it represents a plagioclase with less than 10% anorthite content.			
Aldrin	Aldrin (C12H8Cl6)			
Alkali feldspar	The alkali feldspar group are those feldspar minerals rich in the alkali elements like potassium and sodium. The alkali feldspars include albite, anorthoclase, microcline, orthoclase and sanidine.			
Alkalinity	Alkalinity is the capacity of water to resist changes in pH that would make the water more acidic. It should not be confused with basicity which is an absolute measurement on the pH scale. Alkalinity is the strength of a buffer solution composed of weak acids and their conjugate bases. It is measured by titrating the solution with a monoprotic acid such as HCl until its pH changes abruptly, or it reaches a known endpoint where that happens. Alkalinity is expressed in units of meq/L (milliequivalents per liter), which corresponds to the amount of monoprotic acid added as a titrant in millimoles per liter.			
Alkalinity, bicarbonate	Bicarbonate Alkalinity			
Alkalinity, carbonate	Carbonate Alkalinity			
Alkalinity, carbonate plus bicarbonate	Alkalinity, carbonate plus bicarbonate			
Alkalinity, hydroxide	Hydroxide Alkalinity			
Alkalinity, total	Total Alkalinity			
Alloxanthin	The phytoplankton pigment Alloxanthin			
Alluvium depth	Alluvium is loose, unconsolidated (not cemented together into a solid rock) soil or sediment that has been eroded, reshaped by water in some form, and redeposited in a non-marine setting. Alluvium is typically made up of a variety of materials, including fine particles of silt and clay and larger particles of sand and gravel. When this loose alluvial material is deposited or cemented into a lithological unit, or lithified, it is called an alluvial deposit.			
Alpha-N-Acetylglucosaminidase	An enzyme with system name alpha-N-acetyl-D-glucosaminide N-acetylglucosaminohydrolase.[1][2][3][4] This enzyme catalyses the following chemical reaction: Hydrolysis of terminal non-reducing N-acetyl-D-glucosamine residues in N-acetyl-alpha-D-glucosaminides.			
Altitude	Altitude or height (sometimes known as depth) is defined based on the context in which it is used (aviation, geometry, geographical survey, sport, atmospheric pressure, and many more). As a general definition, altitude is a distance measurement, usually in the vertical or "up" direction, between a reference datum and a point or object. The reference datum also often varies according to the context. Although the term altitude is commonly used to mean the height above sea level of a location, in geography the term elevation is often preferred for this usage.			
Aluminum	Aluminium (in Commonwealth English) or Aluminum (in American English) is a chemical element in the boron group with symbol Al and atomic number 13. It is a silvery-white, soft, nonmagnetic, ductile metal.			
Aluminum, dissolved	Dissolved Aluminum (Al)			
Aluminum, particulate	Particulate aluminum in suspension			
Aluminum, total	Aluminum (Al). Total indicates was measured on a whole water sample.			
Ammonium flux	Ammonium (NH4) flux			
Amphibole	Amphibole is an important group of inosilicate minerals, forming prism or needlelike crystals, composed of double chain SiO 4 tetrahedra, linked at the vertices and generally containing ions of iron and/or magnesium in their structures.			
Aniline	Aniline (C6H7N)			
Anthracene	Anthracene (C14H10), a polycyclic aromatic hydrocarbon (PAH)			
Antimony	Antimony is a chemical element with symbol Sb and atomic number 51. A lustrous gray metalloid, it is found in nature mainly as the sulfide mineral stibnite (Sb2S3).			
Antimony, dissolved	Dissolved antimony (Sb)."Dissolved" indicates measurement was on a filtered sample.			
Antimony, distribution coefficient	Ratio of concentrations of antimony in two phases in equilibrium with each other. Phases must be specified.			
Antimony, particulate	Particulate antimony (Sb) in suspension			
Antimony, total	Total antimony (Sb). "Total" indicates was measured on a whole water (unfiltered) sample.			
Apophyllite	The name apophyllite refers to a specific group of phyllosilicates, a class of minerals. Originally, the group name referred to a specific mineral, but was redefined in 1978 to stand for a class of minerals of similar chemical makeup that comprise a solid solution series, and includes the members fluorapophyllite-(K), fluorapophyllite-(Na), hydroxyapophyllite-(K).			
Area	Area of a measurement location			
Area, basal	Basal area is the area of a given section of land that is occupied by the cross-section of tree trunks and stems at the base. The term is used in forest management and forest ecology.			
Argon	Argon			
Argon, dissolved	Dissolved Argon			
Aroclor-1016	Aroclor-1016 (C24H13Cl7), a PCB mixture			
Aroclor-1242	Aroclor-1242 (C12H6Cl4), a PCB mixture			
Aroclor-1254	Aroclor-1254 (C12H5Cl5), a PCB mixture			
Aroclor-1260	Aroclor-1260 (C12H3Cl7), a PCB mixture			
Arsenic	Arsenic is a chemical element with symbol As and atomic number 33. Arsenic occurs in many minerals, usually in combination with sulfur and metals, but also as a pure elemental crystal. Arsenic is a metalloid. It has various allotropes, but only the gray form, which has a metallic appearance, is important to industry.			
Arsenic, dissolved	Dissolved Arsenic. For chemical terms, dissolved represents a filtered sample.			
Arsenic, distribution coefficient	Ratio of concentrations of arsenic in two phases in equilibrium with each other. Phases must be specified.			
Arsenic, particulate	Particulate arsenic (As) in suspension			
Arsenic, total	Total arsenic (As). Total indicates was measured on a whole water sample.			
Aspect	Aspect identifies the downslope direction of the maximum rate of change in value from each raster DEM cell to its neighbors.			
Asteridae coverage	Areal coverage of the plant Asteridae			
Augelite	Augelite is an aluminium phosphate mineral with formula: Al2(PO4)(OH)3. The shade varies from colorless to white, yellow or rose. Its crystal system is monoclinic			
Barium	Barium is a chemical element with symbol Ba and atomic number 56. It is the fifth element in group 2 and is a soft, silvery alkaline earth metal. Because of its high chemical reactivity, barium is never found in nature as a free element. Its hydroxide, known in pre-modern times as baryta, does not occur as a mineral, but can be prepared by heating barium carbonate.			
Barium, dissolved	Dissolved Barium (Ba)			
Barium, distribution coefficient	Ratio of concentrations of barium in two phases in equilibrium with each other. Phases must be specified			
Barium, particulate	Particulate barium (Ba) in suspension			
Barium, total	Total Barium (Ba). For chemical terms, "total" indicates an unfiltered sample.			
Barometric pressure	Barometric pressure			
Base saturation	Percent base saturation (BS) is the percentage of the Cation Exchange Capacity (CEC) occupied by the basic cations Ca2+, Mg2+ and K+.			
Baseflow	The portion of streamflow (discharge) that is supplied by groundwater sources.			
Batis maritima Coverage	Areal coverage of the plant Batis maritima			
Battery temperature	The battery temperature of a datalogger or sensing system			
Battery voltage	The battery voltage of a datalogger or sensing system, often recorded as an indicator of data reliability			
Bedrock type	In geology, bedrock is the lithified rock that lies under a loose softer material called regolith at the surface of the Earth or other terrestrial planets.			
Benthos	Benthic species			
Benz(a)anthracene	Benz(a)anthracene (C18H12), a polycyclic aromatic hydrocarbon (PAH)			
Benzene	Benzene (C6H6)			
Benzo(a)pyrene	Benzo(a)pyrene (C20H12), a polycyclic aromatic hydrocarbon (PAH)			
Benzo(b)fluoranthene	Benzo(b)fluoranthene (C20H12), a polycyclic aromatic hydrocarbon (PAH)			
Benzo(b)fluorene	Benzo(b)fluorene (C17H12), a polycyclic aromatic hydrocarbon (PAH)			
Benzo(e)pyrene	Benzo(e)pyrene (C20H12), a polycyclic aromatic hydrocarbon (PAH)			
Benzo(g,h,i)perylene	Benzo(g,h,i)perylene (C22H12), a polycyclic aromatic hydrocarbon (PAH)			
Benzo(k)fluoranthene	Benzo(k)fluoranthene (C20H12), a polycyclic aromatic hydrocarbon (PAH)			
Benzoic acid	Benzoic acid (C7H6O2)			
Benzyl alcohol	Benzyl alcohol (C7H8O)			
Beryllium	Beryllium is a chemical element with symbol Be and atomic number 4. It is a relatively rare element in the universe, usually occurring as a product of the spallation of larger atomic nuclei that have collided with cosmic rays. Within the cores of stars beryllium is depleted as it is fused and creates larger elements. It is a divalent element which occurs naturally only in combination with other elements in minerals. Notable gemstones which contain beryllium include beryl (aquamarine, emerald) and chrysoberyl. As a free element it is a steel-gray, strong, lightweight and brittle alkaline earth metal.			
Beryllium, dissolved	Dissolved Beryllium (Be) . For chemical terms, "dissolved"indicates a filtered sample.			
Beryllium, total	Total Beryllium (Be). For chemical terms, "total" indicates an unfiltered sample.			
Beryllium-10	Beryllium-10 (10Be) is a radioactive isotope of beryllium.			
Beta-glucosidase	Beta-glucosidase catalyzes the hydrolysis of the glycosidic bonds to terminal non-reducing residues in beta-D-glucosides and oligosaccharides, with release of glucose.			
Bicarbonate	Bicarbonate (HCO3-)			
Bifenthrin	Bifenthrin (C23H22ClF3O2)			
Biogenic silica	Hydrated silica (SiO2 nH20)			
Biomass	Mass of living biological organisms in a given area or ecosystem at a given time. If this generic term is used, the publisher should specify/qualify the species, class, etc. being measured in the method, qualifier, or other appropriate field.			
Biomass, above-ground	The biomass is the mass of living biological organisms in a given area or ecosystem at a given time on or above the surface of the ground			
Biomass, microbial	Microbial biomass (bacteria and fungi) is a measure of the mass of the living component of soil organic matter.			
Biomass, phytoplankton	Total mass of phytoplankton, per unit area or volume			
Biomass, soil bacterial deoxyribonucleic acid (DNA)	Total dry mass of soil bacterial deoxyribonucleic acid (DNA) per unit mass of soil			
Biomass, total	Total biomass			
Biomass, vegetation	Total dry mass of plant material per unit area or volume			
Biphenyl	Biphenyl ((C6H5)2), a polycyclic aromatic hydrocarbon (PAH), also known as diphenyl or phenylbenzene or 1,1'-biphenyl or lemonene			
Bis(2-chloroethoxy)methane	Bis(2-chloroethoxy)methane (C5H10Cl2O2)			
bis(2-Chloroethyl)ether	bis(2-Chloroethyl)ether (C4H8Cl2O)			
Bis-(2-ethylhexyl) phthalate	Bis-(2-ethylhexyl) phthalate (C6H4(C8H17COO)2)			
bis-2-chloroisopropyl ether	bis-2-chloroisopropyl ether (C6H12Cl2O)			
Bismuth	Bismuth is a chemical element with symbol Bi and atomic number 83. It is a pentavalent post-transition metal and one of the pnictogens with chemical properties resembling its lighter homologs arsenic and antimony. Elemental bismuth may occur naturally, although its sulfide and oxide form important commercial ores. The free element is 86% as dense as lead. It is a brittle metal with a silvery white color when freshly produced, but surface oxidation can give it a pink tinge. Bismuth is marginally radioactive, and the most naturally diamagnetic element, and has one of the lowest values of thermal conductivity among metals.			
Blue-green algae (cyanobacteria), phycocyanin	Blue-green algae (cyanobacteria) with phycocyanin pigments			
BOD1	1-day Biochemical Oxygen Demand			
BOD2, carbonaceous	2-day Carbonaceous Biochemical Oxygen Demand			
BOD20	20-day Biochemical Oxygen Demand			
BOD20, carbonaceous	20-day Carbonaceous Biochemical Oxygen Demand			
BOD20, nitrogenous	20-day Nitrogenous Biochemical Oxygen Demand			
BOD3, carbonaceous	3-day Carbonaceous Biochemical Oxygen Demand			
BOD4, carbonaceous	4-day Carbonaceous Biological Oxygen Demand			
BOD5	5-day Biochemical Oxygen Demand			
BOD5, carbonaceous	5-day Carbonaceous Biochemical Oxygen Demand			
BOD5, nitrogenous	5-day Nitrogenous Biochemical Oxygen Demand			
BOD6, carbonaceous	6-day Carbonaceous Biological Oxygen Demand			
BOD7, carbonaceous	7-day Carbonaceous Biochemical Oxygen Demand			
BODu	Ultimate Biochemical Oxygen Demand			
BODu, carbonaceous	Carbonaceous Ultimate Biochemical Oxygen Demand			
BODu, nitrogenous	Nitrogenous Ultimate Biochemical Oxygen Demand			
Body length	Length of the body of an organism			
Borehole log material classification	Classification of material encountered by a driller at various depths during the drilling of a well and recorded in the borehole log.			
Boron, dissolved	dissolved boron			
Boron, total	Total Boron (B)			
Borrichia frutescens Coverage	Areal coverage of the plant Borrichia frutescens			
Bromide	A bromide is a chemical compound containing a bromide ion or ligand. This is a bromine atom with an ionic charge of −1 (Br−); for example, in caesium bromide, caesium cations (Cs+) are electrically attracted to bromide anions (Br−) to form the electrically neutral ionic compound CsBr. The term "bromide" can also refer to a bromine atom with an oxidation number of −1 in covalent compounds such as sulfur dibromide (SBr2). 			
Bromide, dissolved	Dissolved Bromide (Br-)			
Bromide, total	Total Bromide (Br-)			
Bromine	Bromine (Br2)			
Bromine, dissolved	Dissolved Bromine (Br2)			
Bromodichloromethane	Bromodichloromethane (CHBrCl2)			
Bromoform	Bromoform (CHBr3), a haloform			
Bromomethane (Methyl bromide)	Bromomethane (Methyl bromide) (CH3Br)			
Bulk density	The mass of many particles of the material divided by the total volume they occupy. The total volume includes particle volume, inter-particle void volume and internal pore volume.			
Bulk electrical conductivity	Bulk electrical conductivity of a medium measured using a sensor such as time domain reflectometry (TDR), as a raw sensor response in the measurement of a quantity like soil moisture.			
Butane	Butane			
Butylbenzylphthalate	Butylbenzylphthalate (C19H20O4)			
Butyric Acid	Butyric Acid (C4H8O2)			
Cadmium	Cadmium is a chemical element with symbol Cd and atomic number 48. This soft, bluish-white metal is chemically similar to the two other stable metals in group 12, zinc and mercury. Like zinc, it demonstrates oxidation state +2 in most of its compounds, and like mercury, it has a lower melting point than the transition metals in groups 3 through 11. Cadmium and its congeners in group 12 are often not considered transition metals, in that they do not have partly filled d or f electron shells in the elemental or common oxidation states. The average concentration of cadmium in Earth's crust is between 0.1 and 0.5 parts per million (ppm).			
Cadmium, dissolved	Cadmium is a chemical element with symbol Cd and atomic number 48. This soft, bluish-white metal is chemically similar to the two other stable metals in group 12, zinc and mercury. Like zinc, it demonstrates oxidation state +2 in most of its compounds, and like mercury, it has a lower melting point than the transition metals in groups 3 through 11. Cadmium and its congeners in group 12 are often not considered transition metals, in that they do not have partly filled d or f electron shells in the elemental or common oxidation states. The average concentration of cadmium in Earth's crust is between 0.1 and 0.5 parts per million (ppm).			
Cadmium, dissolved	Dissolved Cadmium. For chemical terms, "dissolved" indicates a filtered sample.			
Cadmium, distribution coefficient	Ratio of concentrations of cadmium in two phases in equilibrium with each other. Phases must be specified.			
Cadmium, particulate	Particulate cadmium (Cd) in suspension			
Cadmium, total	Total Cadmium (Cd). For chemical terms, "total" indciates an unfiltered sample.			
Calcium oxide	Calcium oxide (CaO), commonly known as quicklime or burnt lime, is a widely used chemical compound.			
Calcium, dissolved	Calcium is a chemical element with symbol Ca and atomic number 20. An alkaline earth metal, calcium is a reactive metal that forms a dark oxide-nitride layer when exposed to air. Its physical and chemical properties are most similar to its heavier homologues strontium and barium. It is the fifth most abundant element in Earth's crust and the third most abundant metal, after iron and aluminium. The most common calcium compound on Earth is calcium carbonate, found in limestone and the fossilised remnants of early sea life; gypsum, anhydrite, fluorite, and apatite are also sources of calcium. The name derives from Latin calx "lime", which was obtained from heating limestone.			
Calcium, dissolved	Dissolved Calcium (Ca)			
Calcium, total	Total Calcium (Ca)			
Canopy closure	Crown closure is a term used in forestry. Crown closure and crown cover are two slightly different measures of the forest canopy and that determine the amount of light able to penetrate to the forest floor.			
Canopy height	Forest canopy density and height are used as variables in a number of environmental applications, such as biomass estimation, vegetation coverage, and biodiversity determination. Canopy density, or canopy cover, is the ratio of vegetation to ground as seen from the air. Canopy height measures how far above the ground the top of the canopy is. Lidar can be used to determine both of these variables.			
Canthaxanthin	The phytoplankton pigment Canthaxanthin			
Carbaryl	Carbaryl (C12H11NO2)			
Carbazole	Carbazole (C12H9N)			
Carbon	Carbon is a chemical element with symbol C and atomic number 6. It is nonmetallic and tetravalent—making four electrons available to form covalent chemical bonds. It belongs to group 14 of the periodic table. Three isotopes occur naturally, 12C and 13C being stable, while 14C is a radionuclide, decaying with a half-life of about 5,730 years. Carbon is one of the few elements known since antiquity.			
Carbon dioxide	Carbon dioxide			
Carbon dioxide flux	Carbon dioxide (CO2) flux			
Carbon dioxide storage flux	Carbon dioxide (CO2) storage flux			
Carbon Dioxide, dissolved	Dissolved Carbon dioxide (CO2)			
Carbon dioxide, transducer signal	Carbon dioxide (CO2), raw data from sensor			
Carbon disulfide	Carbon disulfide (CS2)			
Carbon monoxide, dissolved	Dissolved carbon monoxide (CO)			
Carbon tetrachloride	Carbon tetrachloride (CCl4)			
Carbon to nitrogen mass ratio	Carbon to nitrogen (C:N) mass ratio			
Carbon to nitrogen molar ratio	Carbon to nitrogen (C:N) molar ratio			
Carbon, dissolved inorganic	Dissolved Inorganic Carbon			
Carbon, dissolved organic	Dissolved Organic Carbon			
Carbon, dissolved total	Dissolved Total (Organic+Inorganic) Carbon			
Carbon, organic extractable	Mass of carbon extractable by water from soil or forest floor samples, also known as water-extractable organic carbon (WEOC)			
Carbon, particulate organic	Particulate organic carbon in suspension			
Carbon, suspended inorganic	Suspended Inorganic Carbon			
Carbon, suspended organic	DEPRECATED -- The use of this term is discouraged in favor of the use of the synonymous term "Carbon, particulate organic".			
Carbon, suspended total	Suspended Total (Organic+Inorganic) Carbon			
Carbon, total	Total (Dissolved+Particulate) Carbon			
Carbon, total inorganic	Total (Dissolved+Particulate) Inorganic Carbon			
Carbon, total organic	Total (Dissolved+Particulate) Organic Carbon			
Carbon, total solid phase	Total solid phase carbon			
Carbon-13, stable isotope ratio delta	Difference in the 13C:12C ratio between the sample and standard (del C 13)			
Carbon-14	A radioactive isotope of carbon which undergoes beta decay			
Carbonate	Carbonate ion (CO3-2) concentration			
Cation exchange capacity (CEC)	Cation exchange capacity (CEC) is a measure of the total negative charges within the soil that adsorb plant nutrient cations such as calcium (Ca2+), magnesium (Mg2+) and potassium (K+). As such, the CEC is a property of a soil that describes its capacity to supply nutrient cations to the soil solution for plant uptake.			
Cellobiohydrolase	Exocellulases or cellobiohydrolases cleave two to four units from the ends of the exposed chains produced by endocellulase, resulting in tetrasaccharides or disaccharides, such as cellobiose. Exocellulases are further classified into type I, that work processively from the reducing end of the cellulose chain, and type II, that work processively from the nonreducing end.			
Cerium	Cerium is a chemical element with symbol Ce and atomic number 58. Cerium is a soft, ductile and silvery-white metal that tarnishes when exposed to air, and it is soft enough to be cut with a knife.			
Cerium, dissolved	Dissolved Cerium (Ce). "Dissolved " indicates a the measurement was made on a filtered sample.			
Cesium	Caesium (IUPAC spelling) or cesium (American spelling) is a chemical element with symbol Cs and atomic number 55. It is a soft, silvery-gold alkali metal with a melting point of 28.5 °C (83.3 °F), which makes it one of only five elemental metals that are liquid at or near room temperature.			
Cesium, dissolved	Dissolved Cesium (Cs)			
Cesium, total	Total Cesium (Cs)			
Cesium-137	A radioactive isotope of cesium which is formed as a fission product by nuclear fission of uranium or plutonium.			
Chloride	Chloride (Cl-)			
Chloride, dissolved	Dissolved Chloride (Cl-)			
Chloride, total	Total Chloride (Cl-)			
Chlorine	Chlorine (Cl2)			
Chlorine, dissolved	Dissolved Chlorine (Cl2)			
Chlorobenzene	Chlorobenzene (C6H5Cl)			
Chlorobenzilate	Chlorobenzilate (C16H14Cl2O3)			
Chloroethane	Chloroethane (C2H5Cl)			
Chloroethene	Chloroethene (C2H3Cl)			
Chloroform	Chloroform (CHCl3), a haloform			
Chloromethane	Chloromethane (CH3Cl)			
Chlorophyll (a+b+c)	Chlorophyll (a+b+c)			
Chlorophyll a	Chlorophyll a			
Chlorophyll a allomer	The phytoplankton pigment Chlorophyll a allomer			
